GEN,Anzahl,KW
Minden-Lübbecke,91,80189
Märkischer Kreis,32,39610
Mönchengladbach,14,28500
Mülheim an der Ruhr,1,2300
Münster,29,51950
Neckar-Odenwald-Kreis,38,91830
Neuburg-Schrobenhausen,3,4550
Neunkirchen,30,71813
Nordwestmecklenburg,170,250779
Northeim,38,51400
Nürnberger Land,6,15800
Oberbergischer Kreis,26,27248
Odenwaldkreis,16,41200
Oldenburg (Oldenburg),2,5550
Olpe,24,27800
Ortenaukreis,43,100552
Osnabrück,11,8440
Ostalbkreis,84,206564
Paderborn,580,1032360
Peine,96,189954
Recklinghausen,68,120850
Regensburg,2,1500
Region Hannover,277,397631
Regionalverband Saarbrücken,2,6000
Rems-Murr-Kreis,1,1000
Remscheid,1,1500
Reutlingen,5,3005
Rhein-Erft-Kreis,91,196675
Rhein-Hunsrück-Kreis,281,720116
Rhein-Neuss,51,98101
Rhein-Lahn-Kreis,15,11060
Rhein-Neckar-Kreis,5,15000
Rhein-Pfalz-Kreis,17,36150
Rhein-Sieg-Kreis,5,4700
Rheingau-Taunus-Kreis,34,64075
Rheinisch-Bergischer Kreis,2,255
Rotenburg (Wümme),183,268219
Rottweil,21,27190
Saale-Holzland-Kreis,75,120686
Saale-Orla-Kreis,31,52185
Saalekreis,251,451628
Saalfeld-Rudolstadt,2,1200
Saarlouis,19,56900
Saarpfalz-Kreis,8,16000
Salzgitter,65,134030
Salzlandkreis,432,801222
Schwalm-Eder-Kreis,40,78253
Schwarzwald-Baar-Kreis,20,23275
Schwäbisch Hall,100,287396
Siegen-Wittgenstein,34,73975
Soest,299,274833
St. Wendel,97,190195
Starnberg,5,12200
Steinfurt,276,517911
Stuttgart,1,500
Städteregion Aachen,121,239682
Südwestpfalz,74,167660
Trier,1,50
Uelzen,121,216705
Ulm,1,2000
Unna,54,55920
Unstrut-Hainich-Kreis,94,180770
Vechta,77,128225
Viersen,47,70760
Vogelsbergkreis,269,461190
Vogtlandkreis,23,38180
Vorpommern-Greifswald,432,713098
Vorpommern-Rügen,324,488419
Vulkaneifel,95,157627
Warendorf,197,319344
Wartburgkreis,60,94070
Weimarer Land,72,129750
Werra-MeiÁEner-Kreis,29,77050
Wesel,75,130217
Wesermarsch,202,413125
Westerwaldkreis,105,130219
Wetteraukreis,33,55200
Wilhelmshaven,39,94425
Wolfsburg,8,5200
Worms,12,28500
Wunsiedel i.Fichtelgebirge,37,81691
Zollernalbkreis,3,1800
Zweibrücken,1,10
Zwickau,54,91982
