Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
1580,19970101,20210307,110,499.859,79.548,Geisenheim,Hessen,Rheingau-Taunus-Kreis
1587,20031210,20210307,536,489.481,114.289,Gelbelsee,Bayern,Landkreis Eichstätt
1605,19911106,20210307,35,523.875,121.602,Genthin,Sachsen-Anhalt,Jerichower Land
1612,19911107,20210307,311,508.813,121.289,Gera-Leumnitz,Thüringen,Gera
1639,19961011,20210307,203,506.017,86.439,Gießen/Wettenberg,Hessen,Landkreis Gießen
1684,19911102,20210307,238,511.622,149.506,Görlitz,Sachsen,Görlitz
1691,19931110,20210307,167,515.002,99.507,Göttingen,Niedersachsen,Landkreis Göttingen
1694,19911107,20210307,58,536.058,121.034,Goldberg,Mecklenburg-Vorpommern,Ludwigslust-Parchim
1757,19911102,20210307,2,540.967,134.056,Greifswald,Mecklenburg-Vorpommern,Vorpommern-Greifswald
1759,20001026,20210307,12,542.437,139.102,Greifswalder Oie,Mecklenburg-Vorpommern,Vorpommern-Greifswald
1766,19950705,20210307,48,521.344,76.969,Münster/Osnabrück,Nordrhein-Westfalen,Kreis Steinfurt
1803,20080611,20210308,34,540.714,123.238,Groß Lüsewitz,Mecklenburg-Vorpommern,Landkreis Rostock
1832,19980226,20210307,1436,491.129,131.338,Großer Arber,Bayern,Landkreis Regen
1869,19911102,20210307,56,533.153,139.338,Grünow,Brandenburg,Uckermark
1886,20091126,20210307,444,484.878,102.608,Günzburg,Bayern,Landkreis Günzburg
1957,19911101,20150323,93,515.138,119.499,Halle-Kröllwitz,Sachsen-Anhalt,Halle (Saale)
1963,19930813,20210308,4,545.742,85.133,Hallig Hooge,Schleswig-Holstein,Nordfriesland
1975,19950829,20210307,14,536.332,99.881,Hamburg-Fuhlsbüttel,Hamburg,Hamburg
1993,19931006,20210307,68,520.848,93.896,Hameln,Niedersachsen,Landkreis Hameln-Pyrmont
2014,19920430,20210308,59,524.644,96.779,Hannover,Niedersachsen,Region Hannover
2023,20021114,20210307,501,487.918,107.062,Harburg,Bayern,Landkreis Donau-Ries
2044,19910115,20210307,404,516.52,111.367,Harzgerode,Sachsen-Anhalt,Landkreis Harz
2055,19910101,20141231,292,500.493,104.947,Haßfurt,Bayern,Landkreis Haßberge
2100,20181201,20191116,4,541.86,79.119,Helgoland-Düne,Schleswig-Holstein,Pinneberg
2115,19961220,20210307,4,541.75,78.92,Helgoland,Schleswig-Holstein,Pinneberg
2171,19941221,20210307,272,508.52,97.377,"Hersfeld, Bad",Hessen,Landkreis Hersfeld-Rotenburg
2252,19971106,20210308,270,508.99,147.457,Bertsdorf-Hörnitz,Sachsen,Görlitz
2261,19980212,20210307,565,503.123,118.76,Hof,Bayern,Hof
2290,19931210,20210307,977,478.009,110.108,Hohenpeißenberg,Bayern,Landkreis Weilheim-Schongau
